cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/original.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;95 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz xai6.G 3Jdm !S#o 2<~\w% ;94 KB (97093 bytes);38ad927ec136031bcde568a8227ed5caa6bd97f5;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);247 (0.968627);117.68 (0.461489);47.8836 (0.187779);-0.926775;-0.172806;0.947235
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/jsteg/shortEbd-noKey.jpg;f3e96145af5d2eacc6be537a9a2a30354e0bfad2;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;jphide(*);stegbreak-fix: break_jsteg_prepare: bad size in bits 53554 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;29.1805 (0.114433);30.7807 (0.120708);26.0823 (0.102283);1.75095 (0.00686646);9.82962 (0.0385475);90.698 (0.355679);21.9082 (0.0859146);6.78783 (0.026619);6.83647 (0.0268097);8.745 (0.0342941);6.98627 (0.0273972);5.67987 (0.022274);2.19744 (0.0086174);9.28488 (0.0364113);JPEG image data;47 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6Xo/ ;47 KB (48556 bytes);-;7.925 (0.0310784);JPEG (Joint Photographic Experts Group JFIF format);0 (0);250 (0.980392);117.781 (0.461886);47.9336 (0.187975);-0.923943;-0.177642;0.948513
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/jsteg/middleEbd-noKey.jpg;e3f72a259a77ac4fbece61c9a534837f73968038;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;jphide(*);stegbreak-fix: break_jsteg_prepare: bad size in bits 53554 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;28.0949 (0.110176);29.3789 (0.115211);25.0376 (0.0981865);1.72468 (0.00676346);9.88604 (0.0387688);90.3099 (0.354156);20.0688 (0.078701);6.36663 (0.0249672);6.47655 (0.0253983);7.9882 (0.0313263);6.62441 (0.0259781);5.43474 (0.0213127);2.02915 (0.00795746);8.34618 (0.0327301);JPEG image data;47 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6Xo/ ;47 KB (48571 bytes);-;7.51093 (0.0294546);JPEG (Joint Photographic Experts Group JFIF format);0 (0);254 (0.996078);117.781 (0.461885);47.9546 (0.188057);-0.921889;-0.177996;0.947542
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/jsteg/longEbd-noKey.jpg;faf34c169314c8a937531ae2ac739d80de867cbc;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;jphide(**);Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 49949 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;44 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6Xo/ ;44 KB (45056 bytes);-;6.39638 (0.0250838);JPEG (Joint Photographic Experts Group JFIF format);0 (0);253 (0.992157);117.014 (0.458879);45.8258 (0.179709);-0.763513;-0.189999;0.916711
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/jsteg/lowEntropyEbd-noKey.jpg;9b73728233abeed3d8b4c4309aa8c8d735e6fc3c;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 49943 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;44 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6Xo/ ;44 KB (45056 bytes);-;6.38239 (0.025029);JPEG (Joint Photographic Experts Group JFIF format);0 (0);251 (0.984314);117.014 (0.458877);45.6628 (0.17907);-0.76299;-0.192225;0.917162
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/jsteg/binaryEbd-noKey.jpg;eadfd6beacf4671aa46f8bc372cd1d91b7669905;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 49896 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;44 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6Xo/ ;44 KB (45056 bytes);-;6.56247 (0.0257352);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);117.031 (0.458946);45.5027 (0.178442);-0.76141;-0.195421;0.91739
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/shortEbd-noKey.jpg;e7c07c09903dfab9c9116b18d35eb0b8e921d621;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;jphide(*);Loaded 1 files...;29.0813 (0.114044);30.7388 (0.120544);26.1903 (0.102707);1.75484 (0.00688171);9.86172 (0.0386734);90.629 (0.355408);22.8216 (0.0894966);6.90456 (0.0270767);7.01935 (0.0275269);8.93663 (0.0350456);7.03588 (0.0275917);5.81217 (0.0227928);2.20911 (0.00866318);9.60394 (0.0376625);JPEG image data;47 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;47 KB (48616 bytes);e7c07c09903dfab9c9116b18d35eb0b8e921d621;7.92533 (0.0310797);JPEG (Joint Photographic Experts Group JFIF format);0 (0);251 (0.984314);117.698 (0.461561);47.9355 (0.187982);-0.923135;-0.176976;0.948024
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/middleEbd-noKey.jpg;d3465338ce0e86b06b36355746cb80854b378080;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;26.8955 (0.105473);28.2077 (0.110619);23.8771 (0.0936356);1.6634 (0.00652313);9.74304 (0.038208);89.7263 (0.351868);16.2809 (0.0638466);5.44155 (0.0213394);5.57774 (0.0218735);7.04853 (0.0276413);5.42015 (0.0212555);4.56997 (0.0179214);1.70231 (0.00667572);7.29561 (0.0286102);JPEG image data;48 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;47 KB (48726 bytes);d3465338ce0e86b06b36355746cb80854b378080;6.30854 (0.0247394);JPEG (Joint Photographic Experts Group JFIF format);0 (0);251 (0.984314);117.7 (0.461568);47.9497 (0.188038);-0.922271;-0.17678;0.946795
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/binaryEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_alaska2-26873.jpg;38ad927ec136031bcde568a8227ed5caa6bd97f5;/data/out-stego-attrib/_alaska2-26873/outguess/shortEbd-shortKey.jpg;0dea9abc7460423766ce5b86f9930bb7ef96c11b;outguess;shortEbd;shortKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;jphide(*);;29.1367 (0.114262);30.7495 (0.120586);26.235 (0.102882);1.79764 (0.00704956);9.89674 (0.0388107);90.6484 (0.355484);22.9744 (0.0900955);6.93375 (0.0271912);7.08549 (0.0277863);8.995 (0.0352745);6.95612 (0.0272789);5.85011 (0.0229416);2.24218 (0.00879288);9.64869 (0.037838);JPEG image data;47 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;47 KB (48622 bytes);0dea9abc7460423766ce5b86f9930bb7ef96c11b;7.97699 (0.0312823);JPEG (Joint Photographic Experts Group JFIF format);0 (0);250 (0.980392);117.702 (0.461577);47.9378 (0.187991);-0.923273;-0.176864;0.948535
