Tool;Data;shortKey;longKey;noKey
f5;longEbd;0.0212081;0.0211919;0.0211609
f5;lowEntropyEbd;0.0211836;0.0211551;0.0211737
f5;middleEbd;0.0262694;0.0262833;0.0262739
f5;shortEbd;0.0295936;0.0295741;0.0295852
jsteg;binaryEbd;;;0.0648259
jsteg;longEbd;;;0.0613191
jsteg;lowEntropyEbd;;;0.0631511
jsteg;middleEbd;;;0.0703761
jsteg;shortEbd;;;0.0879742
original;original
outguess;middleEbd;0.0309017;0.0308905;0.0309962
outguess;shortEbd;0.0846825;0.0847089;0.0846341
outguess-0.13;binaryEbd
outguess-0.13;longEbd
outguess-0.13;lowEntropyEbd
outguess-0.13;middleEbd;0.0377837;0.0377342;0.0378455
outguess-0.13;shortEbd;0.0863378;0.0863777;0.0863954
steghide;binaryEbd;0.390633;0.391137;
steghide;longEbd;0.693897;0.674689;
steghide;lowEntropyEbd;0.944263;0.940151;
steghide;middleEbd;0.782244;0.766772;
steghide;shortEbd;0.937414;0.932536;

