Tool;Data;shortKey;longKey;noKey
f5;longEbd;45583.6;45585.5;45591.5
f5;lowEntropyEbd;45597.1;45597;45600.7
f5;middleEbd;52067.2;52068.8;52066
f5;shortEbd;53516.1;53515.1;53515.8
jsteg;binaryEbd;;;39187.2
jsteg;longEbd;;;39206.4
jsteg;lowEntropyEbd;;;39193.6
jsteg;middleEbd;;;40657.5
jsteg;shortEbd;;;41202.6
original;original;104807
outguess;middleEbd;48146.2;48143.2;48141.3
outguess;shortEbd;41305.4;41305.5;41305.7
outguess-0.13;binaryEbd
outguess-0.13;longEbd
outguess-0.13;lowEntropyEbd
outguess-0.13;middleEbd;50155.7;50163.9;50155.8
outguess-0.13;shortEbd;41433.3;41433.4;41430.1
steghide;binaryEbd;119740;100001;
steghide;longEbd;119469;105066;
steghide;lowEntropyEbd;119361;105272;
steghide;middleEbd;119424;104888;
steghide;shortEbd;119364;104834;

