cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/original.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;-;-;-;-;-;ok;ok;skipped (false positive likely);-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;194 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz wwS* #D^8 soo  L/mo>"i ;193 KB (198398 bytes);dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;255 (1);JPEG (Joint Photographic Experts Group JFIF format);9 (0.0352941);255 (1);134.123 (0.525972);65.3477 (0.256266);-1.18303;0.341755;0.958206
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/jsteg/shortEbd-noKey.jpg;70ede0eb79d39c79dfac8ee7c58fbc8552758fc0;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 58347 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;37.9148 (0.148685);37.9148 (0.148685);37.9148 (0.148685);25.5395 (0.100155);46.6656 (0.183002);102.809 (0.403172);174.818 (0.685562);37.9148 (0.148685);39.3583 (0.154346);57.9135 (0.227112);37.8331 (0.148365);37.3068 (0.146301);23.5249 (0.0922546);74.0193 (0.290272);JPEG image data;53 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz G ?w ;53 KB (54738 bytes);-;40.6102 (0.159256);JPEG (Joint Photographic Experts Group JFIF format);5 (0.0196078);255 (1);134.112 (0.52593);65.362 (0.256322);-1.17555;0.341097;0.959159
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/jsteg/middleEbd-noKey.jpg;d2d10e6827cf6ee61733541530b94e5dd1ac3178;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 58347 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;36.5179 (0.143208);36.5179 (0.143208);36.5179 (0.143208);25.4169 (0.0996742);46.5888 (0.182701);102.528 (0.402069);166.282 (0.652088);36.5179 (0.143208);38.0374 (0.149166);55.218 (0.216541);36.3584 (0.142582);36.0773 (0.141479);22.7146 (0.089077);69.2052 (0.271393);JPEG image data;53 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz G ?w ;53 KB (54735 bytes);-;39.2231 (0.153816);JPEG (Joint Photographic Experts Group JFIF format);5 (0.0196078);255 (1);134.11 (0.525922);65.3805 (0.256394);-1.17605;0.340502;0.95933
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/jsteg/longEbd-noKey.jpg;cc732696c05111d970815db448b21885d64b3740;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 56928 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;52 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz G(?w ;52 KB (53248 bytes);-;34.8797 (0.136783);JPEG (Joint Photographic Experts Group JFIF format);1 (0.00392157);255 (1);131.294 (0.514878);63.1089 (0.247486);-0.965941;0.435657;0.945658
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/jsteg/lowEntropyEbd-noKey.jpg;c00539c8a7653b98782943b35d6d0462ffab1e44;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 57060 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;52 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz G(?w ;52 KB (53248 bytes);-;35.3758 (0.138729);JPEG (Joint Photographic Experts Group JFIF format);3 (0.0117647);255 (1);131.342 (0.515068);62.9438 (0.246838);-0.962489;0.439364;0.946184
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/jsteg/binaryEbd-noKey.jpg;783eb00913e1db48eb5660cae0986f6706286e82;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 56909 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;52 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz G(?w ;52 KB (53248 bytes);-;36.1285 (0.141681);JPEG (Joint Photographic Experts Group JFIF format);5 (0.0196078);255 (1);131.361 (0.515141);62.7985 (0.246269);-0.957867;0.444548;0.945666
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/outguess/shortEbd-noKey.jpg;7aafcedbe0be492dcdbd55fbbdcb973986f19e81;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;37.7981 (0.148228);37.7981 (0.148228);37.7981 (0.148228);25.4549 (0.099823);46.618 (0.182816);102.774 (0.403034);174.063 (0.682602);37.7981 (0.148228);39.4011 (0.154514);57.6684 (0.226151);37.8953 (0.148609);37.1969 (0.14587);23.416 (0.0918274);73.6351 (0.288765);JPEG image data;54 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;53 KB (54794 bytes);7aafcedbe0be492dcdbd55fbbdcb973986f19e81;40.4796 (0.158744);JPEG (Joint Photographic Experts Group JFIF format);5 (0.0196078);255 (1);134.113 (0.525932);65.3629 (0.256325);-1.17554;0.340955;0.958553
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/outguess/middleEbd-noKey.jpg;3c83846d866c3d1070a4c5eec66dc50727145764;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;34.5646 (0.135548);34.5646 (0.135548);34.5646 (0.135548);24.9286 (0.0977592);45.9468 (0.180183);101.717 (0.398891);152.342 (0.59742);34.5646 (0.135548);35.7378 (0.140148);51.6724 (0.202637);34.2796 (0.13443);34.1736 (0.134014);21.4024 (0.083931);63.6693 (0.249683);JPEG image data;54 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;53 KB (54976 bytes);3c83846d866c3d1070a4c5eec66dc50727145764;37.3623 (0.146519);JPEG (Joint Photographic Experts Group JFIF format);1 (0.00392157);255 (1);134.108 (0.525913);65.3968 (0.256458);-1.17489;0.33956;0.957982
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bows2-3245.jpg;dc92c05efe7b7ad89ef3b42f855ea26466bdb51f;/data/out-stego-attrib/_bows2-3245/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
