Tool;Data;shortKey;longKey;noKey
f5;longEbd;0.226708;0.226682;0.22678
f5;lowEntropyEbd;0.226613;0.226791;0.226662
f5;middleEbd;0.2461;0.245985;0.246101
f5;shortEbd;0.258623;0.258604;0.258617
jsteg;binaryEbd;;;0.219757
jsteg;longEbd;;;0.215067
jsteg;lowEntropyEbd;;;0.217589
jsteg;middleEbd;;;0.228372
jsteg;shortEbd;;;0.246255
original;original
outguess;middleEbd;0.188155;0.18826;0.18831
outguess;shortEbd;0.24528;0.245299;0.245306
outguess-0.13;binaryEbd
outguess-0.13;longEbd
outguess-0.13;lowEntropyEbd
outguess-0.13;middleEbd;0.195363;0.19531;0.195456
outguess-0.13;shortEbd;0.246694;0.246745;0.246772
steghide;binaryEbd;0.879672;0.879828;
steghide;longEbd;0.949828;0.949688;
steghide;lowEntropyEbd;0.991484;0.991531;
steghide;middleEbd;0.965354;0.965234;
steghide;shortEbd;0.990406;0.990417;

