Tool;Data;b;g;r
f5;longEbd;0.21997;0.21997;0.21997
f5;lowEntropyEbd;0.219936;0.219936;0.219936
f5;middleEbd;0.239604;0.239604;0.239604
f5;shortEbd;0.252332;0.252332;0.252332
jsteg;middleEbd;0.203296;0.203296;0.203296
jsteg;shortEbd;0.237923;0.237923;0.237923
outguess;middleEbd;0.17843;0.17843;0.17843
outguess;shortEbd;0.237064;0.237064;0.237064
outguess-0.13;middleEbd;0.185766;0.185766;0.185766
outguess-0.13;shortEbd;0.238563;0.238563;0.238563
steghide;binaryEbd;0.879302;0.879302;0.879302
steghide;longEbd;0.949576;0.949576;0.949576
steghide;lowEntropyEbd;0.991469;0.991469;0.991469
steghide;middleEbd;0.965172;0.965172;0.965172
steghide;shortEbd;0.990385;0.990385;0.990385

