Tool;Data;noKey;shortKey;longKey
f5;longEbd;0.889437;0.889562;0.889557
f5;lowEntropyEbd;0.889464;0.88951;0.889542
f5;middleEbd;0.890687;0.890776;0.890786
f5;shortEbd;0.891151;0.891109;0.891104
jsteg;binaryEbd;0.870547;;
jsteg;longEbd;0.871141;;
jsteg;lowEntropyEbd;0.87075;;
jsteg;middleEbd;0.88375;;
jsteg;shortEbd;0.890844;;
original;original;0.894359
outguess;middleEbd;0.911949;0.912037;0.912044
outguess;shortEbd;0.890911;0.890948;0.890844
outguess-0.13;middleEbd;0.912481;0.912626;0.912473
outguess-0.13;shortEbd;0.890828;0.890724;0.890802
steghide;binaryEbd;;0.894464;0.894448
steghide;longEbd;;0.89437;0.89437
steghide;lowEntropyEbd;;0.894365;0.89437
steghide;middleEbd;;0.894385;0.894333
steghide;shortEbd;;0.894354;0.89437

