Tool;Data;shortKey;longKey;noKey
f5;longEbd;36182.8;36176.7;36179.7
f5;lowEntropyEbd;36178.7;36182.9;36181.9
f5;middleEbd;40093.1;40094.2;40090.8
f5;shortEbd;41276.6;41276.9;41277
jsteg;binaryEbd;;;34538.7
jsteg;longEbd;;;34602.7
jsteg;lowEntropyEbd;;;34560
jsteg;middleEbd;;;36064.5
jsteg;shortEbd;;;36399.2
original;original;151219
outguess;middleEbd;42813.9;42813.2;42813
outguess;shortEbd;36441;36440.5;36441.6
outguess-0.13;binaryEbd
outguess-0.13;longEbd
outguess-0.13;lowEntropyEbd
outguess-0.13;middleEbd;43694.9;43705;43695.2
outguess-0.13;shortEbd;36455.1;36455.1;36452.7
steghide;binaryEbd;151429;151427;
steghide;longEbd;151287;151288;
steghide;lowEntropyEbd;151231;151231;
steghide;middleEbd;151265;151263;
steghide;shortEbd;151231;151230;

