cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/original.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;144 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 6I^0 H\/o Qm/ZI_ )0_@- ;143 KB (147433 bytes);ea13fce4331d5b00e3d2223fbca62749d5813601;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.371 (0.511257);68.5626 (0.268873);-1.05934;-0.628029;0.879545
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/jsteg/shortEbd-noKey.jpg;11c8d3b507e546e6d9358ef5a24c55581d3cd53d;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 54337 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;26.0765 (0.102261);39.6122 (0.155342);27.8478 (0.109207);6.14582 (0.0241013);15.8772 (0.0622635);82.5299 (0.323647);59.0458 (0.231552);15.0406 (0.0589828);16.8324 (0.0660095);23.3411 (0.0915337);16.4832 (0.06464);13.8724 (0.0544014);7.95513 (0.0311966);27.269 (0.106937);JPEG image data;48 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz OjP  ;48 KB (49652 bytes);-;15.6895 (0.0615274);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.512 (0.511814);68.2128 (0.267501);-1.05378;-0.625439;0.880586
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/jsteg/middleEbd-noKey.jpg;f1b6186130be31516f2094e2bd7d28c837cae101;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 54337 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;25.2691 (0.0990944);38.5656 (0.151237);26.8148 (0.105156);6.13998 (0.0240784);15.9696 (0.0626259);82.3091 (0.322781);54.5614 (0.213966);14.3675 (0.0563431);15.6651 (0.0614319);21.775 (0.085392);15.5455 (0.0609627);13.3403 (0.0523148);7.55728 (0.0296364);24.4452 (0.0958633);JPEG image data;48 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz OjP  ;48 KB (49658 bytes);-;15.0427 (0.0589909);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.515 (0.511823);68.231 (0.267573);-1.05403;-0.623606;0.881946
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/jsteg/longEbd-noKey.jpg;f8aea1b7f620a034b1d982138cf7615c4054f88c;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 54008 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;48 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz OjP  ;48 KB (49152 bytes);-;14.9036 (0.0584454);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.837 (0.513086);68.0484 (0.266856);-1.02484;-0.638466;0.880954
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/jsteg/lowEntropyEbd-noKey.jpg;53ed3ce061c0c53f8e7853fea4efa0d09be16a3f;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 53964 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;48 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz OjP  ;48 KB (49152 bytes);-;15.0814 (0.0591429);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.842 (0.513106);67.9538 (0.266485);-1.02328;-0.640897;0.878302
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/jsteg/binaryEbd-noKey.jpg;2b21734f0edda384571f996e425a19173e3d34fa;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 53922 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;48 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz OjP  ;48 KB (49152 bytes);-;15.3894 (0.0603507);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.815 (0.513002);67.8862 (0.26622);-1.02391;-0.642217;0.876795
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/outguess/shortEbd-noKey.jpg;6b7f8e3e30b5706629795cca6f8d9c94376ed980;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;26.1124 (0.102402);38.0665 (0.149281);27.9772 (0.109715);6.21197 (0.0243607);15.8607 (0.0621986);82.4326 (0.323265);60.3512 (0.236671);15.2459 (0.0597878);17.1126 (0.0671082);23.6815 (0.0928688);16.4628 (0.0645599);14.0708 (0.0551796);8.02322 (0.0314636);27.6572 (0.108459);JPEG image data;48 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;48 KB (49606 bytes);6b7f8e3e30b5706629795cca6f8d9c94376ed980;15.8338 (0.0620933);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.491 (0.511729);68.2013 (0.267456);-1.0612;-0.62288;0.882156
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/outguess/middleEbd-noKey.jpg;73555c1d3f4800e0d26188ff6d4729adc4d585e6;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;23.4705 (0.092041);35.9985 (0.141171);25.2058 (0.0988464);5.2898 (0.0207443);15.4638 (0.0606422);81.3995 (0.319214);36.3817 (0.142673);10.7391 (0.0421143);11.5066 (0.0451241);15.9521 (0.0625572);11.5232 (0.0451889);9.83253 (0.038559);5.39972 (0.0211754);17.5669 (0.0688896);JPEG image data;49 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;48 KB (49833 bytes);73555c1d3f4800e0d26188ff6d4729adc4d585e6;11.246 (0.044102);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);130.548 (0.511953);68.2493 (0.267644);-1.06079;-0.621211;0.882504
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_alaska2-72788.jpg;ea13fce4331d5b00e3d2223fbca62749d5813601;/data/out-stego-attrib/_alaska2-72788/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
