cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/original.jpg;2da4574781410941ec931d65106186305d12e22e;-;-;-;-;-;ok;ok;skipped (false positive likely);-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;159 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz -bVVs G GHbf q5I. FO4# ;158 KB (162391 bytes);2da4574781410941ec931d65106186305d12e22e;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);112.101 (0.439613);87.713 (0.343973);-1.36277;0.434276;0.942839
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/jsteg/shortEbd-noKey.jpg;e2d79fe9d1d29f19b255984e7e91071d3fce3332;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;skipped (false positive likely);Loaded 1 files...;53.3951 (0.209393);53.3951 (0.209393);53.3951 (0.209393);42.3097 (0.16592);56.326 (0.220886);109.806 (0.430611);177.74 (0.697018);53.3951 (0.209393);61.2685 (0.240269);72.7294 (0.285213);53.8533 (0.211189);52.2823 (0.205029);40.0558 (0.157082);89.8955 (0.352531);JPEG image data;43 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz Pj .\`` ;42 KB (43673 bytes);-;55.8344 (0.218958);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);112.076 (0.439515);87.6855 (0.343865);-1.3632;0.433272;0.94324
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/jsteg/middleEbd-noKey.jpg;9f97ef408689859a522b7d584dd0479091d79cf3;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;51.1821 (0.200714);51.1821 (0.200714);51.1821 (0.200714);42.0772 (0.165009);56.2258 (0.220493);109.191 (0.4282);165.682 (0.649734);51.1821 (0.200714);58.8279 (0.230698);68.4853 (0.26857);51.4866 (0.201908);50.3154 (0.197315);38.6901 (0.151726);81.9151 (0.321236);JPEG image data;43 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz Pj .\`` ;42 KB (43675 bytes);-;53.6674 (0.21046);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);112.071 (0.439493);87.688 (0.343875);-1.36327;0.432937;0.943394
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/jsteg/longEbd-noKey.jpg;e0c701c8545442395252a32d3c4086c856d5d2ef;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;40 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz Pj .\`` ;40 KB (40960 bytes);-;47.4309 (0.186004);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);117.054 (0.459035);85.2247 (0.334215);-1.33521;0.341111;0.919736
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/jsteg/lowEntropyEbd-noKey.jpg;0173131e5d04fe307f05f12642f3196bb2fa649f;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;40 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz Pj .\`` ;40 KB (40960 bytes);-;48.263 (0.189267);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);117.059 (0.459056);85.1509 (0.333925);-1.33527;0.34144;0.920346
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/jsteg/binaryEbd-noKey.jpg;47c224ae21d34093f993a59ee5d215165c59adc1;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;40 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz Pj .\`` ;40 KB (40960 bytes);-;49.0719 (0.192439);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);117.078 (0.45913);85.0769 (0.333635);-1.33484;0.341677;0.920879
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/outguess/shortEbd-noKey.jpg;51662db8fd4175fdc9d6c91b6f20d983fec9a095;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;53.0089 (0.207878);53.0089 (0.207878);53.0089 (0.207878);42.0986 (0.165092);56.0935 (0.219975);109.706 (0.430222);176.389 (0.691723);53.0089 (0.207878);60.967 (0.239086);72.2294 (0.283253);53.5361 (0.209946);51.8426 (0.203304);39.7474 (0.155872);89.1407 (0.349571);JPEG image data;43 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;42 KB (43686 bytes);51662db8fd4175fdc9d6c91b6f20d983fec9a095;55.4264 (0.217358);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);112.075 (0.439511);87.6851 (0.343863);-1.36323;0.433298;0.943469
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/outguess/middleEbd-noKey.jpg;d0d2e2cbd86076d145c1ba52fb8f6d73f64d42dc;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;47.4584 (0.186111);47.4584 (0.186111);47.4584 (0.186111);40.2679 (0.157913);54.575 (0.21402);107.8 (0.422745);149.042 (0.584476);47.4584 (0.186111);55.2725 (0.216755);62.9378 (0.246815);47.2084 (0.185131);46.6452 (0.182922);36.0209 (0.141258);73.8121 (0.289459);JPEG image data;43 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;42 KB (43851 bytes);d0d2e2cbd86076d145c1ba52fb8f6d73f64d42dc;49.9852 (0.196021);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);112.065 (0.43947);87.682 (0.343851);-1.36349;0.432663;0.944808
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bows2-4747.jpg;2da4574781410941ec931d65106186305d12e22e;/data/out-stego-attrib/_bows2-4747/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
