cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/original.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;73 kB;;image/jpeg;1.01;Progressive DCT/ Huffman coding;3;768x1024;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 egPf :!eT u.ecx e3b(5 ;72 KB (74652 bytes);bbeef63cc81a970bf472169d4b74d0228f45c32a;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);91.1289 (0.357368);65.1227 (0.255383);-1.13237;0.180779;0.91784
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/jsteg/shortEbd-noKey.jpg;72b31478938cd2ec0f5dc2b85090479a1c79b233;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 81771 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;253.048 (0.992345);253.03 (0.992275);253.035 (0.992296);252.202 (0.989029);252.28 (0.989334);253.227 (0.993047);252.799 (0.99137);253.03 (0.992275);252.712 (0.991027);252.755 (0.991196);252.982 (0.992085);252.733 (0.991112);252.44 (0.989961);252.621 (0.990672);JPEG image data;77 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;768x1024;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  gB: ;76 KB (78644 bytes);-;253.055 (0.992371);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);91.1298 (0.357372);65.1218 (0.25538);-1.13233;0.180806;0.917848
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/jsteg/middleEbd-noKey.jpg;9f3fed41b61d9f4bdfbc25c87acbb9f3cabbb7bb;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 81771 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;221.227 (0.867556);221.138 (0.867208);221.191 (0.867415);209.161 (0.820239);211.001 (0.827455);225.858 (0.885718);221.243 (0.867621);221.133 (0.867188);217.463 (0.852796);217.153 (0.85158);217.612 (0.853381);215.917 (0.846732);211.78 (0.830509);217.095 (0.851354);JPEG image data;77 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;768x1024;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  gB: ;76 KB (78661 bytes);-;221.421 (0.868318);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);91.1301 (0.357373);65.1274 (0.255402);-1.13209;0.180658;0.917901
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/jsteg/longEbd-noKey.jpg;3279d821db77094914bad88ca6fcf1f12e5d8836;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 81160 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;768x1024;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  gB: ;76 KB (77824 bytes);-;163.832 (0.642478);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);90.8928 (0.356442);64.9233 (0.254601);-1.12207;0.181997;0.91762
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/jsteg/lowEntropyEbd-noKey.jpg;1c047b0d5922457da5aa69706d951c58bce7323e;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 80988 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;768x1024;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  gB: ;76 KB (77824 bytes);-;172.026 (0.67461);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);90.8908 (0.356435);64.8929 (0.254482);-1.12438;0.181414;0.917533
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/jsteg/binaryEbd-noKey.jpg;254c6f0e12512c66831d6057698e0f59c8646b3d;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 81154 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;76 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;768x1024;0.786;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  gB: ;76 KB (77824 bytes);-;182.189 (0.714467);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);90.9042 (0.356487);64.8804 (0.254433);-1.12719;0.180809;0.916961
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/outguess/shortEbd-noKey.jpg;c0703ade5d9cbced4d7c285e9ca7778663a5e5d9;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;247.174 (0.969308);247.203 (0.969424);247.961 (0.972394);241.506 (0.947083);242.073 (0.949304);247.631 (0.971101);243.517 (0.95497);245.896 (0.964298);245.013 (0.960836);244.769 (0.959877);245.439 (0.962505);244.644 (0.95939);242.937 (0.952694);244.182 (0.957577);JPEG image data;77 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;768x1024;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;76 KB (78706 bytes);c0703ade5d9cbced4d7c285e9ca7778663a5e5d9;245.876 (0.964219);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);91.1328 (0.357384);65.1212 (0.255377);-1.13232;0.180785;0.917841
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/outguess/middleEbd-noKey.jpg;c6deb614018b791bf7786295f615fbfc9a4ecaf7;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;155.421 (0.609493);156.565 (0.613981);156.374 (0.613233);109.805 (0.430608);113.971 (0.446945);176.129 (0.690703);137.298 (0.538425);139.282 (0.546202);132.637 (0.520145);134.055 (0.525707);133.477 (0.523438);130.357 (0.511202);119.201 (0.467453);132.436 (0.519358);JPEG image data;77 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;768x1024;0.786;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;77 KB (79026 bytes);c6deb614018b791bf7786295f615fbfc9a4ecaf7;139.612 (0.547498);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);91.1348 (0.357391);65.1335 (0.255426);-1.13175;0.180658;0.918888
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-IMG-20220624-WA0009.jpg;bbeef63cc81a970bf472169d4b74d0228f45c32a;/data/out-stego-attrib/_bb-IMG-20220624-WA0009/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
