cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/original.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;7.8 MB;;image/jpeg;1.01;Progressive DCT/ Huffman coding;3;5659x3183;18.0;JPEG image data;JFIF standard 1.01 30 0x1E TIFF image data;JFIF  VExif GIMP 2.10.32 2022:11:16 12:15:31 JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 ;7 MB (8209881 bytes);b3db8a0353e355bc05367fb50ff8741077d0c803;255 (1);JPEG (Joint Photographic Experts Group JFIF format) thumbnail;0 (0);237 (0.929412);17.0589 (0.0668977);6.43387 (0.0252309);312.597;16.926;0.451111
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/jsteg/shortEbd-noKey.jpg;531c770656bce56555da4d5e9703e54f55ee5a78;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 475172 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5659x3183;18.0;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QK@ E ;352 KB (360521 bytes);-;23.6518 (0.092752);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.2061 (0.067475);6.24532 (0.0244914);350.781;18.433;0.388886
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/jsteg/middleEbd-noKey.jpg;b02977b81240032b2dec18efaa6f889cd40d44bd;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 475172 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5659x3183;18.0;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QK@ E ;352 KB (360521 bytes);-;23.6261 (0.0926513);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.2061 (0.067475);6.24656 (0.0244963);350.491;18.423;0.388475
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/jsteg/longEbd-noKey.jpg;d3b18d919243513b8acaf47db1c3290a83e6ebbb;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 475137 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5659x3183;18.0;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QK@ E ;352 KB (360448 bytes);-;23.6094 (0.0925861);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.2299 (0.0675681);6.45088 (0.0252976);325.772;17.7526;0.388856
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/jsteg/lowEntropyEbd-noKey.jpg;f250c72b8c1ba51f9e4bc48ec08259826fd5a029;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 475269 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5659x3183;18.0;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QK@ E ;352 KB (360448 bytes);-;23.6203 (0.0926286);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.2284 (0.0675623);6.43158 (0.0252219);327.522;17.8073;0.388781
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/jsteg/binaryEbd-noKey.jpg;677f89b9b501267d2693b438eeba11e3c6a39c74;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 475269 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5659x3183;18.0;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QK@ E ;352 KB (360448 bytes);-;23.6264 (0.0926524);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.2284 (0.0675624);6.42643 (0.0252017);327.827;17.8203;0.388928
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/outguess/shortEbd-noKey.jpg;e7c322b2a3060128c0d802c66984b0c8752ba7a0;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;352 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5659x3183;18.0;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;352 KB (360665 bytes);e7c322b2a3060128c0d802c66984b0c8752ba7a0;25.1978 (0.0988149);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.0681 (0.0669336);6.25176 (0.0245167);348.431;18.3152;0.391467
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/outguess/middleEbd-noKey.jpg;e76d2a0d372851dd4a0b296328cdd5a5d2c8e019;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;353 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5659x3183;18.0;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;353 KB (361775 bytes);e76d2a0d372851dd4a0b296328cdd5a5d2c8e019;24.761 (0.097102);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);17.0687 (0.0669362);6.25159 (0.024516);348.485;18.311;0.392919
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-Autosave.color3.jpg;b3db8a0353e355bc05367fb50ff8741077d0c803;/data/out-stego-attrib/_bb-Autosave.color3/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
