cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/original.jpg;7b5407d8fa4f1cab567e90930929e90037400008;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;4.5 MB;;image/jpeg;;Progressive DCT/ Huffman coding;3;5705x3805;21.7;JPEG image data;EXIF standard 12 0xC TIFF image data;Exif XICC_PROFILE HLino mntrRGB XYZ  acspMSFT IEC sRGB -HP   cprt 3desc ;4 MB (4762382 bytes);7b5407d8fa4f1cab567e90930929e90037400008;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.2277 (0.091089);19.5051 (0.0764907);49.6502;5.84918;0.667202
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/jsteg/shortEbd-noKey.jpg;becaa370f411bc09ba57d4fb22df8615f30cf019;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1710 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5705x3805;21.7;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz R]:  ;1 MB (1750910 bytes);-;5.83802 (0.0228942);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.3057 (0.091395);19.239 (0.0754469);50.8712;5.92781;0.662221
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/jsteg/middleEbd-noKey.jpg;73bf016513e21efa23fa6e561121e9c818a9f168;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1710 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5705x3805;21.7;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz R]:  ;1 MB (1750914 bytes);-;5.82867 (0.0228575);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.3057 (0.0913951);19.2392 (0.075448);50.8678;5.92751;0.662239
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/jsteg/longEbd-noKey.jpg;7a92c45e09f972b067a6b56b49dbc4544da01cbf;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1710 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5705x3805;21.7;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz R]:  ;1 MB (1750930 bytes);-;5.73567 (0.0224928);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.3059 (0.0913957);19.2427 (0.0754614);50.8134;5.92328;0.662463
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/jsteg/lowEntropyEbd-noKey.jpg;05a9e73cec564c158404f8790d0eef3100af949c;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1710 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5705x3805;21.7;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz R]:  ;1 MB (1750902 bytes);-;5.76739 (0.0226172);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.3058 (0.0913953);19.2284 (0.0754056);50.8796;5.92724;0.662261
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/jsteg/binaryEbd-noKey.jpg;cd850cc66de1c6b85c310bc6f5d7b8e654fda7b1;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1710 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5705x3805;21.7;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz R]:  ;1 MB (1750874 bytes);-;5.78401 (0.0226824);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);23.3058 (0.0913951);19.2159 (0.0753564);50.933;5.93027;0.662104
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/outguess/shortEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/outguess/middleEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-cirrus-1.jpg;7b5407d8fa4f1cab567e90930929e90037400008;/data/out-stego-attrib/_bb-cirrus-1/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
