cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/original.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;3.0 MB;;image/jpeg;;Progressive DCT/ Huffman coding;3;5804x3748;21.8;JPEG image data;EXIF standard 12 0xC TIFF image data;jExif XICC_PROFILE HLino mntrRGB XYZ  acspMSFT IEC sRGB -HP   cprt 3desc ;2 MB (3103797 bytes);b53f2dbab0563b3fc9aa509d3f8036947bba4250;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.1626 (0.114363);20.2956 (0.0795906);40.2719;4.99292;0.707955
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/jsteg/shortEbd-noKey.jpg;12c9e1b47416b9f9f0f88930b3e58cbf0a7064c3;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 976549 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1007 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5804x3748;21.8;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QE-  ;1007 KB (1031221 bytes);-;16.0579 (0.0629721);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.1392 (0.114271);20.2466 (0.0793985);40.4424;5.00023;0.70669
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/jsteg/middleEbd-noKey.jpg;017bc4a098c0534770267bd206731972d777244d;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 976549 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1007 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5804x3748;21.8;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QE-  ;1007 KB (1031225 bytes);-;16.0436 (0.0629161);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.1393 (0.114272);20.2468 (0.0793994);40.4413;5.00009;0.706703
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/jsteg/longEbd-noKey.jpg;f72103305c546feaa7a2a4ca71a601083cb99617;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 973562 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1004 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5804x3748;21.8;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QE-  ;1004 KB (1028096 bytes);-;15.894 (0.0623296);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.2251 (0.114608);20.4487 (0.0801911);39.1132;4.93444;0.707429
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/jsteg/lowEntropyEbd-noKey.jpg;0adde9ff58f76110f7f3642a35b1554b45bc4f36;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 973590 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1004 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5804x3748;21.8;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QE-  ;1004 KB (1028096 bytes);-;15.938 (0.062502);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.2244 (0.114606);20.4339 (0.0801329);39.0981;4.93203;0.707381
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/jsteg/binaryEbd-noKey.jpg;01c01458b955d492bc68d4e5bf89cd8f02138d48;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 973549 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1004 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;5804x3748;21.8;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz QE-  ;1004 KB (1028096 bytes);-;15.9788 (0.062662);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.2238 (0.114603);20.42 (0.0800783);39.0843;4.92975;0.707342
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/outguess/shortEbd-noKey.jpg;dcbba9f49c7a831eb2f2941e3ff0382d06d72618;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1006 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5804x3748;21.8;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1006 KB (1030388 bytes);dcbba9f49c7a831eb2f2941e3ff0382d06d72618;16.0129 (0.0627958);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.0419 (0.11389);20.2385 (0.0793665);40.5215;5.00771;0.70637
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/outguess/middleEbd-noKey.jpg;7097b61e2c91b1595eb5faa4854bd83dc5b3c7a3;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1007 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5804x3748;21.8;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1006 KB (1031043 bytes);7097b61e2c91b1595eb5faa4854bd83dc5b3c7a3;15.8584 (0.0621899);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.0416 (0.113889);20.2392 (0.0793694);40.5203;5.00753;0.706396
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/outguess/longEbd-noKey.jpg;58f035d6ba4ca384ee3729a6dbbb372830e3b564;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1015 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5804x3748;21.8;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1015 KB (1039667 bytes);58f035d6ba4ca384ee3729a6dbbb372830e3b564;14.2671 (0.0559495);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.0378 (0.113874);20.2442 (0.0793889);40.4409;5.0001;0.706841
/data/coverData/_bb-m31.jpg;b53f2dbab0563b3fc9aa509d3f8036947bba4250;/data/out-stego-attrib/_bb-m31/outguess/lowEntropyEbd-noKey.jpg;cb3dfef341992db7b3e42b55298b2bf6e3db079d;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1014 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;5804x3748;21.8;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1014 KB (1038451 bytes);cb3dfef341992db7b3e42b55298b2bf6e3db079d;14.4091 (0.0565064);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);29.0386 (0.113877);20.2435 (0.0793861);40.4565;5.0014;0.706786
