cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/original.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;-;-;-;-;-;ok;ok;appended(98)<[nonrandom][data][........Image_UT]>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;2.4 MB;SM-G975F;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;JPEG image data;EXIF standard 12 0xC TIFF image data;Exif samsung SM-G975F G975FXXUEGVA4 2022:03:26 18:00:51 0220 0100 2022:03:26 18:00:51 2022:03:26 18:00:51 ;2 MB (2565478 bytes);a0e59c1b8e9db418a5eebc8e163eea6d38caa665;255 (1);JPEG (Joint Photographic Experts Group JFIF format) thumbnail;0 (0);255 (1);86.9461 (0.340965);50.9871 (0.19995);-1.05793;0.309348;0.886824
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/jsteg/shortEbd-noKey.jpg;38a28f1abb7ecb2f75c1d2ad5461a2c8fc18fdbe;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1042365 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ~^sO1` ;915 KB (937242 bytes);-;38.1154 (0.149472);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9074 (0.340813);51.0113 (0.200044);-1.05493;0.311359;0.88693
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/jsteg/middleEbd-noKey.jpg;8de48d62fbe9c8e593d393441fd19cefd0c03761;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1042365 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ~^sO1 ;915 KB (937249 bytes);-;37.9832 (0.148954);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9074 (0.340813);51.0115 (0.200045);-1.05493;0.311337;0.886984
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/jsteg/longEbd-noKey.jpg;7a0e257abc2c7489977f011dba798957158d1832;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1042365 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ~^sO1 ;915 KB (937290 bytes);-;36.7246 (0.144018);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9075 (0.340814);51.0157 (0.200061);-1.0545;0.311414;0.887301
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/jsteg/lowEntropyEbd-noKey.jpg;38d509f0d0cce37803a34d2bc8bf840b2768619c;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1042365 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz >^sO1 ;915 KB (937248 bytes);-;37.0984 (0.145484);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9074 (0.340813);51.0053 (0.200021);-1.05625;0.310746;0.8869
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/jsteg/binaryEbd-noKey.jpg;56b22dd7d65dcf65b6b37d6a096e7db035e20faa;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1042365 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x2268;9.1;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ~^sO1 ;915 KB (937209 bytes);-;37.2899 (0.146235);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9075 (0.340814);50.9965 (0.199986);-1.05784;0.310156;0.886542
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/outguess/shortEbd-noKey.jpg;01acfef1628642cad940cf45e4e14e1b74f704a7;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;915 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x2268;9.1;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;915 KB (937198 bytes);01acfef1628642cad940cf45e4e14e1b74f704a7;38.1014 (0.149417);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.907 (0.340812);51.0106 (0.200042);-1.0552;0.311277;0.88693
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/outguess/middleEbd-noKey.jpg;566328149c4413a10a8752904a78544474ffb59a;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;916 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x2268;9.1;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;915 KB (937502 bytes);566328149c4413a10a8752904a78544474ffb59a;37.287 (0.146224);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9099 (0.340823);51.0068 (0.200027);-1.05495;0.31133;0.886964
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/outguess/longEbd-noKey.jpg;4e55b7ef8e08fe3db61cafae56ca7ebe7e90a297;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;919 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x2268;9.1;JPEG image data;JFIF standard 1.01 228754 0x37D92 Windows Script Encoded Data (screnc.exe);JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;918 KB (941025 bytes);4e55b7ef8e08fe3db61cafae56ca7ebe7e90a297;28.6108 (0.112199);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9505 (0.340982);50.9663 (0.199868);-1.0523;0.311892;0.887309
/data/coverData/_bb-20220326_180051.jpg;d48fc63b9a676fa8c476a75d39f08f402c649f4d;/data/out-stego-attrib/_bb-20220326_180051/outguess/lowEntropyEbd-noKey.jpg;2c3197884102139b73458023382c2267df19c450;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;919 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x2268;9.1;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;918 KB (940705 bytes);2c3197884102139b73458023382c2267df19c450;29.3464 (0.115084);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);86.9468 (0.340968);50.9704 (0.199884);-1.05263;0.311787;0.88726
