cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/original.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1116 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;2280x1080;2.5;JPEG image data;EXIF standard 12 0xC TIFF image data;Exif Android RP1A.200720.012.G975FXXS9EUB1 2021:08:11 16:42:03 +02:00 Android RP1A.200720.012.G975FXXS9EUB1 JFIF (ICC_PROFILE mntrRGB XYZ  acsp ;1 MB (1143034 bytes);b929f83ca4b6a69ea931e8817d366c1824af9831;255 (1);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3227 (0.267932);69.9613 (0.274358);-1.03747;0.56572;0.728307
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/jsteg/shortEbd-noKey.jpg;fa2762d753ea54502347b88b922a3a8836c5b4bd;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 329218 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;290 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;2280x1080;2.5;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz qP`gh ;289 KB (296571 bytes);-;104.517 (0.409872);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3426 (0.26801);69.9689 (0.274388);-1.03551;0.565849;0.730734
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/jsteg/middleEbd-noKey.jpg;00de338eee8a89bc127b16c77f404241c379eafc;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 329218 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;290 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;2280x1080;2.5;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz qP`gh ;289 KB (296572 bytes);-;104.423 (0.409504);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3427 (0.268011);69.9709 (0.274396);-1.03563;0.565793;0.730772
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/jsteg/longEbd-noKey.jpg;7f89b96f2c38c40b993b59edbb7a0c3696d3242c;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 329218 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;290 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;2280x1080;2.5;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz qP`gh ;289 KB (296596 bytes);-;103.965 (0.407707);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3445 (0.268018);69.9944 (0.274488);-1.03532;0.566022;0.730916
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/jsteg/lowEntropyEbd-noKey.jpg;f3253ba309a33cc9b67e1d4cfa5e2e9145ee3982;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 329218 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;290 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;2280x1080;2.5;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz qP`gh ;289 KB (296559 bytes);-;104.158 (0.408463);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3431 (0.268012);69.9306 (0.274237);-1.03536;0.565207;0.730779
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/jsteg/binaryEbd-noKey.jpg;97da6e53710c76d589261342d569ae76213866bb;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 329218 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;290 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;2280x1080;2.5;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz qP`gh ;289 KB (296511 bytes);-;104.231 (0.40875);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3419 (0.268008);69.8773 (0.274028);-1.03504;0.564677;0.730636
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/outguess/shortEbd-noKey.jpg;c25f8e560ced07fc3cd5e551d3c56ac4e8913138;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;288 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;2280x1080;2.5;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;288 KB (295175 bytes);c25f8e560ced07fc3cd5e551d3c56ac4e8913138;104.39 (0.409372);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);68.3431 (0.268012);69.9632 (0.274365);-1.03582;0.565648;0.731005
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/outguess/middleEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bb-Screenshot_20210811-164203_WhatsApp.jpg;b929f83ca4b6a69ea931e8817d366c1824af9831;/data/out-stego-attrib/_bb-Screenshot_20210811-164203_WhatsApp/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
