cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/original.jpg;235621fc54518734e4994295ab20d26469e2f5c8;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ERROR;3.2 MB;moto x4;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;JPEG image data;EXIF standard 12 0xC TIFF image data;Exif (motorola moto x4 payton-user 9 PPWS29.69-37-5 63ca8 release-keys 2021:09:25 12:21:29 0220 0100 d2021:09:25 12:21:29 2021:09:25 12:21:29 ;3 MB (3334745 bytes);235621fc54518734e4994295ab20d26469e2f5c8;255 (1);JPEG (Joint Photographic Experts Group JFIF format) thumbnail;0 (0);255 (1);98.3092 (0.385526);75.6265 (0.296575);-1.0143;0.57409;0.925756
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/jsteg/shortEbd-noKey.jpg;d25f82d33192e4824edfc69fb184bffe930b092d;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;868 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ZJ){P! ;867 KB (888792 bytes);-;43.6688 (0.17125);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.296 (0.385475);75.6429 (0.296639);-1.0151;0.574084;0.92579
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/jsteg/middleEbd-noKey.jpg;d3ed2b547d51e399f470229f47ec6f23c4228906;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;868 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ZJ){P! ;867 KB (888792 bytes);-;43.6241 (0.171075);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.2959 (0.385474);75.6429 (0.296639);-1.01512;0.574063;0.925792
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/jsteg/longEbd-noKey.jpg;698dc90d580798516869d8bef809509e46659395;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;868 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ZJ){P! ;867 KB (888815 bytes);-;43.13 (0.169137);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.2963 (0.385476);75.6447 (0.296646);-1.01517;0.573893;0.925898
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/jsteg/lowEntropyEbd-noKey.jpg;306c0d3cf7ec17505aba75c1946ce6f81ae0d54a;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;868 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ZJ){P! ;867 KB (888798 bytes);-;43.256 (0.169631);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.2961 (0.385475);75.639 (0.296623);-1.01505;0.574257;0.925773
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/jsteg/binaryEbd-noKey.jpg;bad6286f098cea2ad51c4f9bf773261a7d733fc1;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;868 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ZJ){P! ;867 KB (888735 bytes);-;43.3502 (0.170001);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.2959 (0.385474);75.6338 (0.296603);-1.01494;0.574576;0.925674
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/outguess/shortEbd-noKey.jpg;fb54f85718a146581d46935d6ad4703a14ce0fba;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;866 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x3024;12.2;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;866 KB (887114 bytes);fb54f85718a146581d46935d6ad4703a14ce0fba;43.1041 (0.169036);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);98.2973 (0.38548);75.6289 (0.296584);-1.01534;0.574196;0.92593
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/outguess/middleEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_uh-IMG_20210925_122127703_HDR.jpg;235621fc54518734e4994295ab20d26469e2f5c8;/data/out-stego-attrib/_uh-IMG_20210925_122127703_HDR/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
