Tool;Data;shortKey;longKey;noKey
jsteg;binaryEbd;;;0.159697
jsteg;longEbd;;;0.159581
jsteg;lowEntropyEbd;;;0.159654
jsteg;middleEbd;;;0.159913
jsteg;shortEbd;;;0.16004
original;original
outguess;binaryEbd;0.31447;0.314418;0.314762
outguess;longEbd;0.313836;0.313763;0.313623
outguess;lowEntropyEbd;0.31551;0.315273;0.315175
outguess;middleEbd;0.253565;0.253579;0.253531
outguess;shortEbd;0.19595;0.195951;0.195944
outguess-0.13;binaryEbd;0.174892;0.174901;0.174904
outguess-0.13;longEbd;0.174804;0.174816;0.174798
outguess-0.13;lowEntropyEbd;0.175019;0.174992;0.174998
outguess-0.13;middleEbd;0.161182;0.161184;0.161189
outguess-0.13;shortEbd;0.161398;0.161398;0.161398
steghide;binaryEbd;0.992068;0.992068;
steghide;longEbd;0.99748;0.997512;
steghide;lowEntropyEbd;0.999642;0.999644;
steghide;middleEbd;0.998372;0.998404;
steghide;shortEbd;0.999604;0.999592;

