Tool;Data;noKey;shortKey;longKey
jsteg;binaryEbd;0.600948;;
jsteg;longEbd;0.600822;;
jsteg;lowEntropyEbd;0.60089;;
jsteg;middleEbd;0.600444;;
jsteg;shortEbd;0.60069;;
original;original;0.61748
outguess;binaryEbd;0.656365;0.656345;0.656365
outguess;longEbd;0.656485;0.65652;0.65648
outguess;lowEntropyEbd;0.656215;0.65626;0.656245
outguess;middleEbd;0.56642;0.56639;0.56636
outguess;shortEbd;0.586135;0.586135;0.586137
outguess-0.13;binaryEbd;0.654852;0.65501;0.654828
outguess-0.13;longEbd;0.65486;0.65486;0.655005
outguess-0.13;lowEntropyEbd;0.654543;0.654755;0.654965
outguess-0.13;middleEbd;0.60145;0.6014;0.60151
outguess-0.13;shortEbd;0.601272;0.601294;0.601294
steghide;binaryEbd;;0.617502;0.617502
steghide;longEbd;;0.617488;0.617486
steghide;lowEntropyEbd;;0.61748;0.61748
steghide;middleEbd;;0.617484;0.617482
steghide;shortEbd;;0.61748;0.61748

