Tool;Data;noKey;shortKey;longKey
jsteg;binaryEbd;1129814;;
jsteg;longEbd;1129854;;
jsteg;lowEntropyEbd;1.12983e+06;;
jsteg;middleEbd;1.13072e+06;;
jsteg;shortEbd;1.13071e+06;;
original;original;6.03017e+06
outguess;binaryEbd;1.348e+06;1.34793e+06;1.34802e+06
outguess;longEbd;1.34829e+06;1.34828e+06;1.34825e+06
outguess;lowEntropyEbd;1347447;1.34756e+06;1.34754e+06
outguess;middleEbd;1015411;1.01539e+06;1015420
outguess;shortEbd;975308;975295;975270
outguess-0.13;binaryEbd;1.33697e+06;1.33692e+06;1.33698e+06
outguess-0.13;longEbd;1.33756e+06;1.33767e+06;1.33758e+06
outguess-0.13;lowEntropyEbd;1336278;1336278;1.33635e+06
outguess-0.13;middleEbd;1.13155e+06;1131524;1.13156e+06
outguess-0.13;shortEbd;1.13034e+06;1.13036e+06;1.13034e+06
steghide;binaryEbd;;6.33618e+06;6.33593e+06
steghide;longEbd;;6.33574e+06;6.33579e+06
steghide;lowEntropyEbd;;6.33558e+06;6.33554e+06
steghide;middleEbd;;6.33566e+06;6.33565e+06
steghide;shortEbd;;6.33567e+06;6335605

