Tool;Data;shortKey;shortKey;shortKey;longKey;longKey;longKey;noKey;noKey;noKey
jsteg;binaryEbd;0;5;0
jsteg;longEbd;0;5;0
jsteg;lowEntropyEbd;0;5;0
jsteg;middleEbd;0;5;0
jsteg;shortEbd;0;5;0
original;original
outguess;binaryEbd
outguess;longEbd
outguess;lowEntropyEbd
outguess;middleEbd
outguess;shortEbd
outguess-0.13;binaryEbd;1;5;0.2;1;5;0.2;0;5;0
outguess-0.13;longEbd;0;5;0;1;5;0.2;1;5;0.2
outguess-0.13;lowEntropyEbd;0;5;0;0;5;0;1;5;0.2
outguess-0.13;middleEbd;0;5;0;0;5;0;0;5;0
outguess-0.13;shortEbd;0;5;0;0;5;0;0;5;0
steghide;binaryEbd
steghide;longEbd
steghide;lowEntropyEbd
steghide;middleEbd
steghide;shortEbd

