cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/original.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;-;-;-;-;-;ok;ok;negative;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;ERROR;3.3 MB;moto x4;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;JPEG image data;EXIF standard 12 0xC TIFF image data;(vExif motorola Tmoto x4 payton-user 9 PPWS29.69-37-5 63ca8 release-keys 2021:01:02 13:16:31 0220 0100 d2021:01:02 13:16:31 2021:01:02 13:16:31 ;3 MB (3492363 bytes);29d3e4bc321df234d6bef0451b4918d9a30eb13f;255 (1);JPEG (Joint Photographic Experts Group JFIF format) thumbnail;0 (0);248 (0.972549);179.997 (0.705869);29.4286 (0.115406);9.61039;-2.40093;0.819971
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/jsteg/shortEbd-noKey.jpg;9ebba01103edd70de2a3122b7be5a835fcc55ca8;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 922613 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;889 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz GojC ;888 KB (910019 bytes);-;56.8637 (0.222995);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705906);29.4163 (0.115358);9.60871;-2.40021;0.814142
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/jsteg/middleEbd-noKey.jpg;9407db0e1e400de86186a77143d07d91746ef9d6;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 922613 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;889 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz GojC ;888 KB (910024 bytes);-;56.8128 (0.222795);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705906);29.417 (0.115361);9.60769;-2.40009;0.81415
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/jsteg/longEbd-noKey.jpg;b40873761f0e4e1838147753179c79fa4d571075;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 922613 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;889 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz GojC ;888 KB (910060 bytes);-;56.5036 (0.221583);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705907);29.4269 (0.1154);9.6074;-2.40037;0.81402
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/jsteg/lowEntropyEbd-noKey.jpg;5ddf1b803cf17bfd914e58c682a2930dec543dd9;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 922613 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;889 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz GojC ;888 KB (909983 bytes);-;56.5979 (0.221952);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705906);29.4017 (0.115301);9.60248;-2.39838;0.814119
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/jsteg/binaryEbd-noKey.jpg;c0632db1c5e9c766954cd64a4c067ba26751cc49;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 922613 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;889 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4032x3024;12.2;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz GojC ;888 KB (909948 bytes);-;56.6618 (0.222203);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705906);29.3794 (0.115213);9.59631;-2.3964;0.814041
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/outguess/shortEbd-noKey.jpg;3c5ebdca2eb1dfa265cd22daebd2d479e752ed85;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;888 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4032x3024;12.2;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;888 KB (909586 bytes);3c5ebdca2eb1dfa265cd22daebd2d479e752ed85;56.8193 (0.222821);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);180.006 (0.705908);29.4124 (0.115343);9.59722;-2.3989;0.81356
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/outguess/middleEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_uh-IMG_20210102_131631482.jpg;29d3e4bc321df234d6bef0451b4918d9a30eb13f;/data/out-stego-attrib/_uh-IMG_20210102_131631482/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
