Tool;Data;shortKey;longKey;noKey
f5;longEbd;0.0712118;0.0709107;0.0709825
f5;lowEntropyEbd;0.0713758;0.071193;0.0714343
f5;middleEbd;0.120717;0.120276;0.120276
f5;shortEbd;0.13253;0.132444;0.132498
jsteg;binaryEbd;;;0.129228
jsteg;longEbd;;;0.126254
jsteg;lowEntropyEbd;;;0.127789
jsteg;middleEbd;;;0.139577
jsteg;shortEbd;;;0.145049
original;original
outguess;binaryEbd;0.0884804;0.0885171;0.0885344
outguess;longEbd;0.0879628;0.0879531;0.0879442
outguess;lowEntropyEbd;0.0891782;0.0892258;0.0892165
outguess;middleEbd;0.137083;0.137283;0.136873
outguess;shortEbd;0.145715;0.145643;0.145683
outguess-0.13;binaryEbd;0.103799;0.103792;0.103804
outguess-0.13;longEbd;0.101522;0.101518;0.101512
outguess-0.13;lowEntropyEbd;0.103938;0.103938;0.103947
outguess-0.13;middleEbd;0.129489;0.1294;0.129416
outguess-0.13;shortEbd;0.142143;0.14216;0.142151
steghide;binaryEbd;0.956344;0.956527;
steghide;longEbd;0.983978;0.983428;
steghide;lowEntropyEbd;0.997392;0.997348;
steghide;middleEbd;0.989183;0.988824;
steghide;shortEbd;0.997204;0.997032;

