Tool;Data;noKey;shortKey;longKey
f5;longEbd;90405.3;90334.5;90350.5
f5;lowEntropyEbd;90641.7;90603.2;90544.3
f5;middleEbd;103313;103257;103281
f5;shortEbd;104298;104285;104284
jsteg;binaryEbd;1.35017e+06;;
jsteg;longEbd;1.3503e+06;;
jsteg;lowEntropyEbd;1.35024e+06;;
jsteg;middleEbd;1.35033e+06;;
jsteg;shortEbd;1.35034e+06;;
original;original;3.54142e+06
outguess;binaryEbd;1.43524e+06;1.43522e+06;1.43524e+06
outguess;longEbd;1.43534e+06;1.43537e+06;1.43535e+06
outguess;lowEntropyEbd;1.43508e+06;1.43509e+06;1.43509e+06
outguess;middleEbd;1.32711e+06;1.32711e+06;1.32711e+06
outguess;shortEbd;1.33482e+06;1.33482e+06;1.33482e+06
outguess-0.13;binaryEbd;1.43297e+06;1.43296e+06;1.43296e+06
outguess-0.13;longEbd;1.45037e+06;1.45046e+06;1.4504e+06
outguess-0.13;lowEntropyEbd;1.43267e+06;1.43268e+06;1.43267e+06
outguess-0.13;middleEbd;1.37077e+06;1.37076e+06;1.37077e+06
outguess-0.13;shortEbd;1.36302e+06;1.36302e+06;1.36302e+06
steghide;binaryEbd;;3.27867e+06;3.26114e+06
steghide;longEbd;;3.27845e+06;3.26113e+06
steghide;lowEntropyEbd;;3.27836e+06;3.26104e+06
steghide;middleEbd;;3.27842e+06;3.26109e+06
steghide;shortEbd;;3.27835e+06;3.26103e+06

