cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/original.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;-;-;-;-;-;ok;ok;appended(98)<[nonrandom][data][........Image_UT]>;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;3.7 MB;SM-G975F;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;JPEG image data;EXIF standard 12 0xC TIFF image data;Exif samsung SM-G975F G975FXXUFHVG4 2022:08:24 13:15:34 0220 2022:08:24 13:15:34 2022:08:24 13:15:34 +02:00 ;3 MB (3835879 bytes);d2f30ac09a4b8045b31e6821fa17a6f885b10650;255 (1);JPEG (Joint Photographic Experts Group JFIF format) thumbnail;0 (0);255 (1);123.797 (0.48548);65.0643 (0.255154);-0.85606;0.125093;0.915653
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/jsteg/shortEbd-noKey.jpg;695bc8fd5701478e729dbeb717e196466755156a;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1831770 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1617 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz iwP1zQ ;1 MB (1655650 bytes);-;32.7939 (0.128604);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.879 (0.485801);65.0862 (0.25524);-0.848775;0.124313;0.915527
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/jsteg/middleEbd-noKey.jpg;04271e7088f57f297395dd63b2046d7562680c19;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1831770 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1617 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz iwP1zQ ;1 MB (1655656 bytes);-;32.7237 (0.128328);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.879 (0.485801);65.0866 (0.255242);-0.848784;0.124305;0.915539
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/jsteg/longEbd-noKey.jpg;ff76e7f3337d3a0b13e3cfd07bab5c10b55aefcb;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1831770 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1617 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz iwP1zQ ;1 MB (1655714 bytes);-;32.6094 (0.12788);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.879 (0.485801);65.0901 (0.255255);-0.848843;0.12412;0.915559
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/jsteg/lowEntropyEbd-noKey.jpg;bb229a0e93b912b74d2945112c1f0895cf819300;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1831770 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1617 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz iwP1zQ ;1 MB (1655632 bytes);-;32.6771 (0.128146);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.879 (0.485801);65.0801 (0.255216);-0.848555;0.1246;0.915517
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/jsteg/binaryEbd-noKey.jpg;43634f8db6e04e427f4a3c2a0ae5de7a4832178f;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;21ed4cf4f811051407d1db438a3501932801d069;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 1831770 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1617 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;4608x2592;11.9;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz iwP1zQ ;1 MB (1655573 bytes);-;32.7314 (0.128358);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.879 (0.485802);65.0715 (0.255182);-0.848298;0.125007;0.915475
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/outguess/shortEbd-noKey.jpg;a9ab9d7cf8b59fecf1257b0ce0aa04000d3c9c99;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1609 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4608x2592;11.9;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1 MB (1647745 bytes);a9ab9d7cf8b59fecf1257b0ce0aa04000d3c9c99;32.7117 (0.128281);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.947 (0.486067);64.958 (0.254737);-0.845929;0.127395;0.915926
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/outguess/middleEbd-noKey.jpg;71e60103df7c06de6aaf41b731387977e48ccae2;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1609 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4608x2592;11.9;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1 MB (1647963 bytes);71e60103df7c06de6aaf41b731387977e48ccae2;32.4331 (0.127189);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.947 (0.486069);64.9583 (0.254738);-0.845898;0.127396;0.915947
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/outguess/longEbd-noKey.jpg;9daf3213dc6b08c149f92d3b18865b2d6f65f3ab;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1612 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4608x2592;11.9;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1 MB (1650286 bytes);9daf3213dc6b08c149f92d3b18865b2d6f65f3ab;29.2329 (0.114639);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.95 (0.486079);64.9622 (0.254754);-0.845669;0.127325;0.916146
/data/coverData/_bb-20220824_131534.jpg;8e88a3e80fd915dbad1906501db03f429f8b814b;/data/out-stego-attrib/_bb-20220824_131534/outguess/lowEntropyEbd-noKey.jpg;e0ec7b0d3c9103443df27b247e6097a4b472dc9c;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;6b07672d0c71136de528fb719c6768784ebe5879;ok;ok;negative;Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;1612 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;4608x2592;11.9;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;1 MB (1650223 bytes);e0ec7b0d3c9103443df27b247e6097a4b472dc9c;29.3695 (0.115174);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);123.951 (0.486081);64.9603 (0.254746);-0.845763;0.1274;0.916126
