cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/original.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;102 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz zg<v@89 >f$1 GR1F zg zz ;102 KB (104453 bytes);25bde591ce723b5f2b402a42a6809e89be4cdb6a;255 (1);JPEG (Joint Photographic Experts Group JFIF format);1 (0.00392157);167 (0.654902);48.32 (0.18949);31.3345 (0.12288);-0.0178172;0.338048;0.829851
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/jsteg/shortEbd-noKey.jpg;4a3cabf6a30e17da04e4d67a859d80616539e601;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;stegbreak-fix: break_jsteg_prepare: bad size in bits 17667 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;95.1474 (0.373127);95.1474 (0.373127);95.1474 (0.373127);26.7097 (0.104744);20.4423 (0.0801659);111.598 (0.437637);183.058 (0.717876);95.1474 (0.373127);64.4932 (0.252914);136.74 (0.536236);68.248 (0.267639);117.121 (0.459297);56.6227 (0.22205);121.525 (0.47657);JPEG image data;17 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz J1KE ;17 KB (17607 bytes);-;96.2445 (0.377429);JPEG (Joint Photographic Experts Group JFIF format);1 (0.00392157);178 (0.698039);48.305 (0.189431);31.3228 (0.122834);-0.010667;0.337296;0.817803
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/jsteg/middleEbd-noKey.jpg;313b00a915373c7dbe748bbfac97ab7a7388269a;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;jphide(**);Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 16808 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;16 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz J1KE ;16 KB (16384 bytes);-;76.6397 (0.300548);JPEG (Joint Photographic Experts Group JFIF format);0 (0);176 (0.690196);68.2916 (0.26781);36.5163 (0.143201);-0.642084;0.368486;0.772531
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/jsteg/longEbd-noKey.jpg;b7f9b0002d092daf8abf1350289914e9445e452a;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;jphide(***);Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 16615 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;16 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz J1KE ;16 KB (16384 bytes);-;76.5534 (0.300209);JPEG (Joint Photographic Experts Group JFIF format);0 (0);177 (0.694118);68.4065 (0.268261);36.5131 (0.143189);-0.647267;0.36776;0.771824
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/jsteg/lowEntropyEbd-noKey.jpg;dd809e3666153aa8a40be375affbf7403480e172;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 16875 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;16 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz J1KE ;16 KB (16384 bytes);-;77.0734 (0.302248);JPEG (Joint Photographic Experts Group JFIF format);0 (0);176 (0.690196);68.1735 (0.267347);36.4796 (0.143057);-0.636334;0.369988;0.774156
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/jsteg/binaryEbd-noKey.jpg;dee3f9d247c59fddcea97f06a1d3b89baed2861b;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file stegbreak-fix: break_jsteg_prepare: bad size in bits 16810 Processed 0 files found 0 embeddings. Time: 0 seconds: Cracks: 0 -nan c/s;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;16 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz J1KE ;16 KB (16384 bytes);-;77.3301 (0.303255);JPEG (Joint Photographic Experts Group JFIF format);0 (0);176 (0.690196);68.1723 (0.267342);36.4492 (0.142938);-0.635953;0.370491;0.774095
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/outguess/shortEbd-noKey.jpg;d7c0b0474683c433132c50d6cb75e02da9cc9077;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;94.0209 (0.36871);94.0209 (0.36871);94.0209 (0.36871);26.628 (0.104424);20.4403 (0.0801582);111.562 (0.437496);180.401 (0.707455);94.0209 (0.36871);64.1605 (0.25161);134.611 (0.527885);67.9824 (0.266598);115.585 (0.453274);56.1091 (0.220036);119.873 (0.470089);JPEG image data;17 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;17 KB (17661 bytes);d7c0b0474683c433132c50d6cb75e02da9cc9077;95.0917 (0.372909);JPEG (Joint Photographic Experts Group JFIF format);1 (0.00392157);177 (0.694118);48.3033 (0.189425);31.3226 (0.122834);-0.0132894;0.336843;0.8187
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/outguess/middleEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_bows2-4431.jpg;25bde591ce723b5f2b402a42a6809e89be4cdb6a;/data/out-stego-attrib/_bows2-4431/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
