cover file;cover sha1;stego file;stego sha1;stego tool;stego embed;stego key;embed hash;embed hash out;stego file content;extracted data;stegdetect;stegbreak;stegoveritas/diff red_plane;stegoveritas/diff green_plane;stegoveritas/diff blue_plane;stegoveritas/diff Edge-enhance;stegoveritas/diff Edge-enhance_More;stegoveritas/diff Find_Edges;stegoveritas/diff GaussianBlur;stegoveritas/diff inverted;stegoveritas/diff Max;stegoveritas/diff Median;stegoveritas/diff Min;stegoveritas/diff Mode;stegoveritas/diff Sharpen;stegoveritas/diff Smooth;file/data type;exiftool/file size;exiftool/camera;exiftool/mime type;exiftool/jfif version;exiftool/encoding;exiftool/color components;exiftool/resolution;exiftool/megapixels;binwalk/data type;binwalk/jfif version;strings/header;foremost/extracted data length;foremost/extracted data hash;imagemagick/diff image;imagemagick/format;imagemagick/min;imagemagick/max;imagemagick/mean;imagemagick/standard deviation;imagemagick/kurtosis;imagemagick/skewness;imagemagick/entropy
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/original.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;-;-;-;-;-;ok;ok;negative;-;255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);255 (1);JPEG image data;77 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;77 KB (79195 bytes);b7639940a32b7c75df92fe05534ee9a9b8d50681;255 (1);JPEG (Joint Photographic Experts Group JFIF format);7 (0.027451);255 (1);125.677 (0.492852);57.3921 (0.225067);-0.925871;0.404509;0.964815
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/jsteg/shortEbd-noKey.jpg;b922bce1d86a02b9ed6b64e0ebf8716addddd1b0;jsteg;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;45.5227 (0.17852);62.3823 (0.244637);61.8959 (0.242729);13.4181 (0.0526199);45.5334 (0.178562);113.911 (0.446709);14.8976 (0.0584221);14.8782 (0.0583458);12.7362 (0.0499458);10.4969 (0.0411644);12.9852 (0.0509224);13.1379 (0.0515213);6.03201 (0.0236549);9.03683 (0.0354385);JPEG image data;64 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz C)py ;63 KB (65243 bytes);-;17.2021 (0.0674593);JPEG (Joint Photographic Experts Group JFIF format);8 (0.0313725);255 (1);125.777 (0.493244);57.2412 (0.224475);-0.924321;0.399108;0.966406
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/jsteg/middleEbd-noKey.jpg;bba729f4e41157a9039508696bba3c7e209a4800;jsteg;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;41.5694 (0.163017);57.291 (0.22467);52.683 (0.2066);12.7907 (0.0501595);44.546 (0.17469);112.744 (0.442135);13.5659 (0.0531998);12.5621 (0.049263);10.7644 (0.0422134);9.16523 (0.0359421);10.9979 (0.043129);11.1847 (0.0438614);5.17502 (0.0202942);7.75961 (0.0304298);JPEG image data;64 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz <6o3 ;63 KB (65243 bytes);-;14.5877 (0.0572065);JPEG (Joint Photographic Experts Group JFIF format);8 (0.0313725);255 (1);125.776 (0.493239);57.2555 (0.224531);-0.922678;0.399647;0.966075
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/jsteg/longEbd-noKey.jpg;8570adff016e45b30e7d739c91d49095eb000cff;jsteg;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;60 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz <6o3 ;60 KB (61440 bytes);-;5.65614 (0.0221809);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);128.477 (0.503832);55.7243 (0.218527);-0.84895;0.351966;0.945164
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/jsteg/lowEntropyEbd-noKey.jpg;a6d62b3e55e85114d964e519eea2b1d971e939ca;jsteg;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;60 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz 46o  ;60 KB (61440 bytes);-;5.85973 (0.0229793);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);128.479 (0.503838);55.5001 (0.217647);-0.849945;0.354853;0.945002
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/jsteg/binaryEbd-noKey.jpg;ede4732ec08712f18abdc31effeba97f11a29bb2;jsteg;binaryEbd;noKey;21ed4cf4f811051407d1db438a3501932801d069;da39a3ee5e6b4b0d3255bfef95601890afd80709;ok;empty;negative;Premature end of JPEG file Loaded 1 files...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;JPEG image data;60 kB;;image/jpeg;;Baseline DCT/ Huffman coding;3;512x512;0.262;;; $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz C!`y ;60 KB (61440 bytes);-;6.35133 (0.0249072);JPEG (Joint Photographic Experts Group JFIF format);0 (0);255 (1);128.486 (0.503868);55.3113 (0.216907);-0.851145;0.356474;0.945386
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/outguess/shortEbd-noKey.jpg;53fee2f22017edbdf54390884052f3f675619a8a;outguess;shortEbd;noKey;7648cf24a314672c5e708249f170706324d060e7;7648cf24a314672c5e708249f170706324d060e7;ok;ok;negative;Loaded 1 files...;44.3505 (0.173923);61.3366 (0.240536);60.0419 (0.235458);13.0864 (0.0513191);45.226 (0.177357);113.583 (0.445423);14.99 (0.0587845);14.3198 (0.0561562);12.4609 (0.0488663);9.9765 (0.0391235);12.4191 (0.0487022);12.5475 (0.0492058);5.55536 (0.0217857);8.6594 (0.0339584);JPEG image data;64 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;63 KB (65316 bytes);53fee2f22017edbdf54390884052f3f675619a8a;16.5607 (0.0649439);JPEG (Joint Photographic Experts Group JFIF format);9 (0.0352941);255 (1);125.677 (0.492849);57.2402 (0.224471);-0.925354;0.39815;0.966287
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/outguess/middleEbd-noKey.jpg;6b798c660e9fdbd45c6de6daa773bff1c64d9495;outguess;middleEbd;noKey;787820e2c9c728e307b925648eacd22d85acdc36;787820e2c9c728e307b925648eacd22d85acdc36;ok;ok;negative;Loaded 1 files...;29.7165 (0.116535);45.0022 (0.176479);33.3876 (0.130932);11.1934 (0.0438957);42.2863 (0.165829);109.84 (0.430744);9.81405 (0.0384865);5.96878 (0.023407);5.14778 (0.0201874);4.6225 (0.0181274);5.08358 (0.0199356);5.31315 (0.0208359);2.67895 (0.0105057);4.0583 (0.0159149);JPEG image data;64 kB;;image/jpeg;1.01;Baseline DCT/ Huffman coding;3;512x512;0.262;JPEG image data;JFIF standard 1.01;JFIF  $.' " # (7) 01444 '9=82<.342 !22222222222222222222222222222222222222222222222222 $3br %&'()*456789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz  #3R &'()*56789:CDEFGHIJSTUVWXYZcdefghijstuvwxyz ;63 KB (65481 bytes);6b798c660e9fdbd45c6de6daa773bff1c64d9495;7.19379 (0.0282109);JPEG (Joint Photographic Experts Group JFIF format);5 (0.0196078);255 (1);125.689 (0.492898);57.2588 (0.224544);-0.92358;0.397487;0.964895
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/outguess/longEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;longEbd;noKey;ce3a186609bceb6c79a9184dcdcc3e7851fdebde;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
/data/coverData/_alaska2-45684.jpg;b7639940a32b7c75df92fe05534ee9a9b8d50681;/data/out-stego-attrib/_alaska2-45684/outguess/lowEntropyEbd-noKey.jpg;da39a3ee5e6b4b0d3255bfef95601890afd80709;outguess;lowEntropyEbd;noKey;6b07672d0c71136de528fb719c6768784ebe5879;da39a3ee5e6b4b0d3255bfef95601890afd80709;empty;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
